구분,새주소,행정동
연립,강남구 광평로10길 50,일원본동
아파트,강남구 일원로14길 25,일원본동
아파트,강남구 일원로 127,일원본동
아파트,강남구 일원로 120,일원본동
아파트,강남구 광평로10길 6,일원본동
아파트,강남구 광평로31길 27,일원본동
아파트,강남구 개포로124길 27,일원1동
아파트,강남구 양재대로55길 12,일원1동
아파트,강남구 양재대로55길 10,일원1동
아파트,강남구 개포로110길 43,일원2동
아파트,강남구 개포로110길 21,일원2동
아파트,강남구 개포로110길 15,일원2동
아파트,강남구 개포로109길 5,일원2동
아파트,강남구 개포로109길 21,일원2동
아파트,강남구 개포로109길 9,일원2동
아파트,강남구 개포로109길 69,일원2동
아파트,강남구 논현로 205,도곡1동
아파트,강남구 언주로29길 34,도곡2동
아파트,강남구 남부순환로363길 49,도곡1동
아파트,강남구 남부순환로 2740,도곡2동
아파트,강남구 언주로 123,도곡2동
아파트,강남구 언주로 117,도곡2동
아파트,강남구 도곡로 242,도곡1동
아파트,강남구 논현로 218,도곡1동
연립,강남구 남부순환로373길 3,도곡1동
아파트,강남구 헌릉로590길 100,세곡동
아파트,강남구 헌릉로590길 10,세곡동
아파트,강남구 헌릉로590길 11,세곡동
아파트,강남구 헌릉로590길 88,세곡동
아파트,강남구 헌릉로590길 63,세곡동
아파트,강남구 자곡로 21,세곡동
아파트,강남구 헌릉로571길 20,세곡동
아파트,강남구 자곡로3길 22,세곡동
아파트,강남구 밤고개로21길 25,세곡동
아파트,강남구 자곡로 260,세곡동
아파트,강남구 자곡로 101,세곡동
아파트,강남구 자곡로3길 45,세곡동
아파트,강남구 자곡로 175,세곡동
아파트,강남구 자곡로3길 21,세곡동
아파트,강남구 밤고개로26길 50,세곡동
아파트,강남구 밤고개로27길 20,세곡동
연립,강남구 자곡로 36,세곡동
아파트,강남구 선릉로 8,개포2동
아파트,강남구 개포로110길 50,일원2동
아파트,"강남구 역삼로 434, 436, 438
강남구 선릉로72길 45
강남구 역삼로 74길 8",대치4동
연립,강남구 봉은사로 448,삼성2동
연립,"강남구 압구정로77길 43(A동)
강남구 압구정로 77길 39(B동)",청담동
다세대,강남구 언주로 620,논현2동
다세대,강남구 학동로82길 6,삼성1동
다세대,강남구 언주로103길 14,역삼1동
다세대,역삼로19길 25,역삼1동
도시형생활주택,강남구 테헤란로5길 25,역삼1동
아파트,강남구 삼성로11,개포2동
