업종명,신고일자,업소명,영업소 주소(도로명),영업소 주소(지번)
목욕장업,1986-09-07,부용,부산광역시 부산진구 서면문화로 48 (부전동),부산광역시 부산진구 부전동 404-5 
목욕장업,1986-11-05,수정,부산광역시 부산진구 부전로 193-1 (부전동),부산광역시 부산진구 부전동 39-1 
목욕장업,1986-11-05,수정,부산광역시 부산진구 부전로 193-1 (부전동),부산광역시 부산진구 부전동 39-1 
목욕장업,1986-12-17,아주,부산광역시 부산진구 범전로19번길 28 (부전동),부산광역시 부산진구 부전동 41-3 
목욕장업,1987-04-13,억수,부산광역시 부산진구 성지로83번길 36 (초읍동),부산광역시 부산진구 초읍동 249-16 
목욕장업,1987-05-19,향기탕,부산광역시 부산진구 냉정로161번길 21-6 (개금동),부산광역시 부산진구 개금동 605-23 
목욕장업,1987-09-26,성암,부산광역시 부산진구 신천대로204번길 19-5 (부암동),부산광역시 부산진구 부암동 117-24 
목욕장업,1987-11-13,청호,부산광역시 부산진구 연지로13번길 5 (연지동),부산광역시 부산진구 연지동 181-18 
목욕장업,1988-03-17,용정탕,부산광역시 부산진구 엄광로 60 (개금동),부산광역시 부산진구 개금동 540-253 
목욕장업,1988-10-07,필우탕,부산광역시 부산진구 신암로83번길 36 (범천동),부산광역시 부산진구 범천동 1239-61 
목욕장업,1988-10-17,동아탕,부산광역시 부산진구 당감서로 120-3 (당감동),부산광역시 부산진구 당감동 768-6 
