업종명,업소명,소재지(도로명),소재지(지번),소재지전화
유흥주점영업,로망스,"부산광역시 부산진구 서면문화로 11 (부전동,(지하1층))",부산광역시 부산진구 부전동 475-3 (지하1층) , 051- 803-1123
유흥주점영업,뮤직뱅크,"부산광역시 부산진구 중앙대로691번가길 11, 지상3층 (부전동)",부산광역시 부산진구 부전동 515-71 지상3층 , 
유흥주점영업,아리랑포장클럽,부산광역시 부산진구 새싹로8번길 30 (부전동),부산광역시 부산진구 부전동 266-3 ,051 -819 -5525
유흥주점영업,디스미클럽,부산광역시 부산진구 가야대로765번길 11-1 (부전동),부산광역시 부산진구 부전동 467-13 , 051- 818-1605
유흥주점영업,양궁,"부산광역시 부산진구 가야대로703번길 6, 지하1층 (당감동)",부산광역시 부산진구 당감동 984 지하1층 , 051- 805-6662
유흥주점영업,풍선,부산광역시 부산진구 가야대로 765 (부전동),부산광역시 부산진구 부전동 485-13 , 051- 805-2779
유흥주점영업,단호박노래주점,"부산광역시 부산진구 신천대로 188-1, 지하1층 (부암동)",부산광역시 부산진구 부암동 689-15 , 
유흥주점영업,금영,부산광역시 부산진구 서면문화로5번길 28 (부전동),부산광역시 부산진구 부전동 477-25 , 051- 818-1680
유흥주점영업,아마존노래타운,"부산광역시 부산진구 서면로 36, 지상3층 (부전동)",부산광역시 부산진구 부전동 240-4 지상3층 , 
유흥주점영업,하이힐,"부산광역시 부산진구 서면로 37-1, 지상3층 (부전동)",부산광역시 부산진구 부전동 521-9 지상3층 , 051- 804-1250
유흥주점영업,홍콩유흥주점, ,부산광역시 부산진구 부전동 242-4 , 051- 806-5223
유흥주점영업,심플포장센타,부산광역시 부산진구 서면문화로 17 (부전동),부산광역시 부산진구 부전동 474-129 ,051 -819 -3838
유흥주점영업,목화실내포장,부산광역시 부산진구 동성로 133 (전포동),부산광역시 부산진구 전포동 635-1 , 051- 818-8571
유흥주점영업,맨스타,부산광역시 부산진구 새싹로 132 (부암동),부산광역시 부산진구 부암동 15-22 , 051- 804-2030
유흥주점영업,7080실내포장,부산광역시 부산진구 동성로 113-1 (전포동),부산광역시 부산진구 전포동 192-13 ,
유흥주점영업,논모르드,"부산광역시 부산진구 중앙대로692번길 31, 8층 (부전동)",부산광역시 부산진구 부전동 172-5 8층 ,
유흥주점영업,파라다이스,부산광역시 부산진구 가야대로482번길 13 (개금동),부산광역시 부산진구 개금동 171-42 , 051- 894-5510
유흥주점영업,설탕,부산광역시 부산진구 중앙대로691번가길 15-1 (부전동),부산광역시 부산진구 부전동 515-52 , 051- 819-6636
유흥주점영업,하트노래주점,부산광역시 부산진구 새싹로8번길 18 (부전동),부산광역시 부산진구 부전동 260-58 , 051- 802-1117
유흥주점영업,루비노래주점,부산광역시 부산진구 서면로 33-9 (부전동),부산광역시 부산진구 부전동 521-20 , 051- 817-8935
유흥주점영업,조은날,부산광역시 부산진구 동천로107번길 24 (부전동),부산광역시 부산진구 부전동 117-5 , 051- 806-9855
유흥주점영업,고구려.com,"부산광역시 부산진구 중앙대로691번가길 13, 지상2층 (부전동)",부산광역시 부산진구 부전동 515-8 지상2층 , 051- 819-2556
유흥주점영업,갈채노래주점,"부산광역시 부산진구 부전로96번길 36 (부전동,13)",부산광역시 부산진구 부전동 475-12 13 , 051- 805-7577
유흥주점영업,비행기,부산광역시 부산진구 서면문화로5번길 17 (부전동),부산광역시 부산진구 부전동 486-11 ,051 -807 -4910
유흥주점영업,희야,"부산광역시 부산진구 부전로96번길 42, 지상2-3층 (부전동)",부산광역시 부산진구 부전동 475-23 지상2-3층 , 051- 818-8898
유흥주점영업,브이아이피,부산광역시 부산진구 부전로20번길 19 (부전동),부산광역시 부산진구 부전동 523-1 , 051- 807-2222
유흥주점영업,더블디오,"부산광역시 부산진구 부전로20번길 19, 지상3층 (부전동)",부산광역시 부산진구 부전동 523-1 지상3층 ,051 -817 -8580
유흥주점영업,박카스,부산광역시 부산진구 부전로96번길 36 (부전동),부산광역시 부산진구 부전동 475-12 ,051 -807 -4040
유흥주점영업,해피데이포장센타,부산광역시 부산진구 부전로152번길 27 (부전동),부산광역시 부산진구 부전동 347-26 , 051- 805-6333
유흥주점영업,황제,부산광역시 부산진구 서면문화로 24-1 (부전동),부산광역시 부산진구 부전동 398-4 , 051- 809-0348
유흥주점영업,클럽 블로썸(CLUB BLOWSOME),"부산광역시 부산진구 부전로20번길 47, 지상2층 (부전동)",부산광역시 부산진구 부전동 524-46 지상2층 , 051- 819-0015
유흥주점영업,우정,부산광역시 부산진구 부전로20번길 19 (부전동),부산광역시 부산진구 부전동 523-1 ,051 -805 -8969
유흥주점영업,물레방아,"부산광역시 부산진구 동성로 113, 지하1층 (전포동)",부산광역시 부산진구 전포동 192-17 (지하1층) , 
유흥주점영업,수연,부산광역시 부산진구 신천대로204번길 4-1 (부암동),부산광역시 부산진구 부암동 133-41 , 051- 804-6284
유흥주점영업,물레방아,부산광역시 부산진구 새싹로8번길 27 (부전동),부산광역시 부산진구 부전동 263-26 , 051- 809-8938
유흥주점영업,플레져아일랜드,"부산광역시 부산진구 부전로 130-11 (부전동,외1(지하1층))",부산광역시 부산진구 부전동 401-10 외1(지하1층) ,051 -809 -8253
